"","species","decimalLatitude","decimalLongitude"
"502","Eurycea cirrigera",36.496856,-86.281564
"503","Eurycea cirrigera",36.496892,-86.281525
"504","Eurycea cirrigera",36.496811,-86.281747
"505","Eurycea cirrigera",36.495731,-86.276419
"506","Eurycea cirrigera",36.496342,-86.276925
"507","Eurycea cirrigera",36.49475,-86.278008
"508","Eurycea cirrigera",36.494667,-86.278153
"509","Eurycea lucifuga",36.495169,-86.28205
"510","Eurycea cirrigera",36.495128,-86.282089
"511","Eurycea lucifuga",36.489447,-86.291694
"512","Eurycea lucifuga",36.489981,-86.282033
"513","Eurycea lucifuga",36.489322,-86.282636
"514","Eurycea lucifuga",36.489322,-86.282636
"515","Eurycea lucifuga",36.486672,-86.288936
"516","Eurycea lucifuga",36.486722,-86.288917
"517","Eurycea lucifuga",36.494497,-86.279192
"518","Eurycea lucifuga",36.488761,-86.291456
"519","Eurycea cirrigera",39.540338,-82.576187
"520","Eurycea cirrigera",35.913746,-79.047544
"521","Eurycea bislineata",38.286568,-79.301265
"522","Eurycea guttolineata",30.480167,-90.980603
"523","Eurycea lucifuga",35.12114,-85.56186
"524","Eurycea bislineata",39.691422,-76.786758
"525","Eurycea guttolineata",30.478537,-90.983604
"526","Eurycea lucifuga",35.196204,-86.441562
"527","Eurycea guttolineata",31.885612,-86.034644
"528","Eurycea guttolineata",31.883983,-86.036614
"529","Eurycea cirrigera",38.935327,-84.123025
"530","Eurycea cirrigera",35.617039,-88.872308
"531","Eurycea cirrigera",35.61679,-88.87212
"532","Eurycea cirrigera",37.665706,-76.717706
"533","Eurycea cirrigera",39.060567,-84.31678
"534","Eurycea cirrigera",38.413592,-81.825471
"535","Eurycea bislineata",40.050091,-75.557995
"536","Eurycea cirrigera",39.058045,-84.318855
"537","Eurycea cirrigera",40.211175,-81.352489
"538","Eurycea cirrigera",32.47633,-84.94168
"539","Eurycea cirrigera",36.292541,-87.098094
"540","Eurycea wilderae",35.64052,-83.692633
"541","Eurycea bislineata",41.03707,-74.543065
"542","Eurycea bislineata",41.03708,-74.543268
"543","Eurycea bislineata",41.037081,-74.543218
"544","Eurycea bislineata",39.459128,-78.038425
"545","Eurycea cirrigera",37.662845,-76.718978
"546","Eurycea cirrigera",37.665645,-76.717675
"547","Eurycea bislineata",40.661492,-74.594775
"548","Eurycea wilderae",35.31267,-82.78872
"549","Eurycea lucifuga",36.393814,-86.175941
"550","Eurycea cirrigera",38.089892,-85.547201
"551","Eurycea lucifuga",36.457526,-82.225431
"552","Eurycea cirrigera",40.073697,-82.879158
"553","Eurycea cirrigera",40.073066,-82.880788
"554","Eurycea cirrigera",39.11415,-84.364478
"555","Eurycea lucifuga",35.876923,-84.915947
"556","Eurycea guttolineata",32.502742,-85.597528
"557","Eurycea guttolineata",33.244596,-79.521071
"558","Eurycea cirrigera",37.464363,-77.918962
"559","Eurycea cirrigera",39.244812,-84.620202
"560","Eurycea cirrigera",37.49435,-84.2258
"561","Eurycea wilderae",35.743018,-83.278512
"562","Eurycea cirrigera",40.073333,-82.87814
"563","Eurycea bislineata",39.715074,-75.758004
"564","Eurycea cirrigera",37.493295,-84.226342
"565","Eurycea tynerensis",35.979572,-92.76953
"566","Eurycea lucifuga",37.56738,-89.439359
"567","Eurycea cirrigera",33.998188,-84.239875
"568","Eurycea longicauda",35.663094,-87.91414
